,Y,Y1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Population2015,percentage_pop_perZiP
11372,0.03,15.3,0.01,0.439705891,7.448617797,0.237441181,0.052764707,0.140705885,0,8.987588417,0.052764707,0.422117656,17.78170624,74287,0.01
10457,0.02,6.96,0,0.698659142,6.242564799,0.290351851,0.036293981,0.127028935,0.027220486,9.12793632,0.11795544,0.190543402,16.85855436,76647,0.01
11218,0.04,15.3,0.01,0.462470424,23.02177771,1.415159498,0.110992902,0.036997634,0,5.105673483,0.129491719,0.064745859,30.34730923,78133,0.01
10453,0.03,6.34,0,0.742822217,9.136713273,0.148564443,0.027855833,0.194990832,0.009285278,5.60830774,0.018570555,0.259987776,16.14709795,78436,0.01
11203,0.04,7.83,0,0.60778154,17.3122773,1.813848034,0.018993173,0.075972693,0.009496587,5.593489486,0.170938558,0.075972693,25.67877007,80221,0.01
11221,0.03,5.8,0.02,2.119230514,11.14274143,0.738374432,0.105482062,0.067124948,0.038357113,11.40165195,0.278089072,0.019178557,25.91023008,81004,0.01
11229,0.02,19.19,0,0.808393069,17.59217298,2.838999469,0.067366089,0.048118635,0.009623727,1.847755586,0.105860997,0.173227086,23.49151764,81295,0.01
10029,0.04,9.69,-0.01,1.158341828,5.772403443,0.279932608,0.057917091,0.183404123,0.038611394,18.92923604,0.559865217,0.395766791,27.37547854,81541,0.01
10462,0.01,9.85,0.01,0.917459213,11.71450553,0.647050182,0.12554705,0.067602258,0.009657465,3.98853321,0.038629862,0.280066497,17.78905127,81580,0.01
11204,0.04,20.34,0.01,0.550026156,21.56888284,1.041120938,0.06875327,0.029465687,0,2.337611164,0.147328435,0.127684643,25.87087313,82969,0.01
11235,0.02,24.6,0,0.784468172,18.96625581,2.899553245,0.119159722,0.099299769,0,3.127942712,0.47663889,0.208529514,26.68184784,83882,0.01
11206,0.04,11.59,0.01,0.980991793,11.43155742,1.071082876,0.080080963,0.130131564,0.020020241,15.80598,0.320323851,0.140141685,29.9803104,84559,0.01
11223,0.02,20.41,0,0.624590833,23.7646738,1.581625175,0.020148091,0.120888548,0.020148091,3.848285457,0.040296183,0.130962594,30.15161877,85099,0.01
10002,0.02,30.13,-0.01,0.473257001,5.730524989,0.185187522,0.216052109,0.226340305,0.07201737,18.82739808,0.267493087,0.493833392,26.49210386,86908,0.01
10314,0.01,18.5,-0.01,0.989178264,14.27095725,3.194221478,0.113343343,0.051519701,0.030911821,1.937140768,0.030911821,0.092735462,20.71091991,87041,0.01
11377,0.03,16.27,0.01,0.703123145,25.95351608,1.695767584,0.08272037,0.217140971,0.020680092,6.958851124,0.237821064,0.093060416,35.96268085,87346,0.01
10458,0.01,10.63,0.01,1.244314342,6.449696005,0.155539293,0.041477145,0.103692862,0.010369286,9.311618992,0.082954289,0.082954289,17.4826165,87593,0.01
11355,0.03,20.91,0.01,0.395530859,17.68439289,1.08250551,0.020817414,0.072860948,0.010408707,2.42522869,0.03122612,0.260217671,21.98318881,87926,0.01
11212,0.03,7.5,-0.01,0.925477348,8.960303413,0.578423342,0.10516788,0.042067152,0,3.039351745,0.084134304,0.10516788,13.84009307,88839,0.01
11230,0.01,21.49,0.01,0.633251773,28.54910078,1.097636407,0.08443357,0.063325177,0.021108392,6.079217023,0.16886714,0.116096158,36.81303642,89155,0.01
10456,0.04,6.59,0,0.98300047,9.289894548,0.216044059,0.043208812,0.151230841,0.010802203,8.252883064,0.151230841,0.043208812,19.14150365,91250,0.01
11234,0.02,18.77,0,1.134965032,26.22424012,7.082618326,0.065478752,0.043652501,0.120044378,6.275047053,0.098218128,0,41.04426429,92187,0.01
11214,0.03,19.53,0,0.815735726,25.89409757,1.377931969,0.055117279,0.176375292,0.011023456,2.62358247,0.088187646,0.055117279,31.09716869,93119,0.01
11219,0.03,30.32,0.01,0.358485873,21.38592288,1.254700556,0.067216101,0.078418785,0.089621468,4.077776808,0.134432202,0.089621468,27.53619614,94633,0.01
10025,0.01,22.31,0,0.694771888,5.121141172,0.235325962,0.280149955,0.12326598,0.056029991,17.02191125,0.526681915,0.414621933,24.47390004,94661,0.01
11236,0.01,11.01,0,0.76565257,23.09718585,1.705317087,0.046403186,0.081205576,0,2.981404703,0.127608762,0.046403186,28.85118092,97996,0.01
11208,0.05,9.74,0.01,1.578336215,22.81624263,1.647968695,0.092843307,0.162475787,0,7.787232352,0.24371368,0.220502853,34.54931552,98035,0.01
11207,0.04,10.86,0.01,1.770734518,17.90538785,1.502794426,0.081546984,0.163093969,0,7.816860931,0.337837507,0.116495692,29.69475188,98408,0.01
10467,0.01,12.28,0,1.805901755,17.8713914,0.469065391,0.093813078,0.152446252,0.035179904,16.58146157,0.058633174,0.445612121,37.51350465,99059,0.01
11385,0.03,22.47,0.02,1.503020296,36.89791628,4.915615558,0.172477739,0.197117416,0,8.648526621,0.086238869,0.098558708,52.51947149,104070,0.01
11373,0.03,20.05,0.01,0.701817173,25.10249639,0.589025128,0.125324495,0.200519192,0,3.484020967,0.701817173,0.238116541,31.14313706,105866,0.01
11220,0.05,30.34,0.01,0.840023103,24.52365955,0.990475002,0.062688291,0.175527216,0.012537658,10.10535255,0.238215507,1.416755383,38.36523426,105910,0.01
